Author,Retweets,Likes,Comments,Timestamp,Content
embraceme.app,0,0,0,2021-01-18 18:59:59,Submitted a work management tool request -- free for startups. Fibery it is. You know why  @fibery_io  ? Cause I work there)
Farhan Qamar,0,0,0,2021-01-18 18:15:23,Replying to  @MrBeastYTCan you help me with my startup please it's a huge request for a huge fan.
Cs Neetu Agrawal,7,1,0,2021-01-18 14:51:36,Replying to  @narendramodiRequest you to plz consider the efforts of msme and small start up to build the economy of india. The draconian penal provision of company law are causing them cease their existence in the market. Plz for once atleast go through the genuine demands of #extend_cfss
"Paolo De Buono, #BLM, MSc, JD, OCT",0,2,0,2021-01-18 13:01:15,"... I was given unreasonable obstacles/delay (the school saying it’s head office; head office saying it’s the school). It was only in March 2020, after a student’s formal GSA request sent through me, that the DK was allowed to start up.  7 months’ delay for a student club!  2/2"
Marketing Max,0,2,0,2021-01-17 14:34:13,Request for startup: creative problem solving as a service
Haseeb Mohammed,0,0,0,2021-01-17 07:53:38,Sunday #criticism:  The problem with most Indian Venture Capital firms. For them: 1. Any form submission on their website = Asking for money 2. Message on social media = Asking for money 3. Request on LinkedIn = Asking for money Results: 0 collaborations #startups #VentureCapital
hazel bagels #zxmbiepartner2021,0,12,2,2021-01-17 02:44:43,"Gonna start up a community server for people to play and stream. Any requests for content? I'm going to attempt to keep the server simple, but of course I want to add some features to make it more interesting"
Daniel Bartholomae,0,1,0,2021-01-17 01:08:56,"Replying to  @allenholubOnly valid kind of feature request from an internal stakeholder is for a customer that the product team hasn’t discovered yet, and then it is usually a good idea to discover the customer and not start with features."
Dr. Shailendra Vyas,0,0,0,2021-01-17 00:31:40,"@nsitharaman  Startups are totally misunderstood in the Indian system. We request you to make a provision for a body beyond the regular banking, policy and finance administration. Do you really feel that a salaried employee will ever understand the pain of a startup?"
Anish Singh love me when i am gone,0,0,0,2021-01-16 16:59:23,Replying to  @rsprasad  and  @narendramodiStart up  sounds good bt funding is big problem frm last 3 years i am struggling for funds request you to make funding a bit easier
wites,0,0,0,2021-01-16 15:35:21,"P42 helps you modernize your GitHub repositories with JavaScript and TypeScript code. It shows suggestions to use new language features, apply best practices, and upgrade libraries - and it creates pull requests for you!  View startup  https://ift.tt/2LXdoXv"
India First,0,1,0,2021-01-16 13:28:25,Replying to  @PiyushGoyal  and  @narendramodiPlease guide us on the process or send us the link where a startup can request for the seed fund
The Startup Guy,2,0,1,2021-01-16 13:07:38,The biggest problem will be making the architecture of the software. I will never use dynamic objects. I will keep refactoring for newer requests. That is why I am using #dotnetcore instead of #nodejs. It is statically typed and much more suitable for refactoring.
Chris Herd,33,111,4,2021-01-16 12:49:33,"In the last 12 months I've spoken to 1,500+ companies about their plans for remote work in 2021  Here are a few 'request for startup ideas' based on what I've heard  [ a thread ] "
Indian Prime Minister,0,3,0,2021-01-16 12:42:41,"Replying to  @narendramodiThis handle is a new #startup to share all the work of Hon PM Shri Modi Ji, So request everyone to follow this hande in large numbers. Thank you everyone for your kind support. #StartUpIndia"
Hummingbird,0,0,0,2021-01-16 12:40:26,"Replying to  @annie_mcgarry  @isawthesethings  and  @OregonGovBrownThis happened in May: This $5.6 million donation represents the rapid fulfilment of an offer made by Pres Trump in response to Pres Putin’s request for assistance. The U.S is donating 100 percent of the cost, delivery, and startup supplies for the 200 ventilators."
LEVI.,0,2,0,2021-01-16 11:29:51,"Replying to  @vhsfaker  @irxsdescent  and 2 othersATC immediately replies ""A350 900 Flight EA 0077 engine start up approved"" he  turn on the engine and still communicating with the ATC. ""Flight EA 0077, request approval for take off."" He stands back as he waits for the ATC's clearance for take off."
CS MOHIT KESARWANI,12,10,0,2021-01-16 11:02:51,"Replying to  @nsitharamanoffc  @nsitharaman  and 4 othersMadam reality on ground today is that due to covid-19 startups n small companies could not do business n moreover they r bearing huge penalties...Request u to #Extend_CFSS by March 31, 2021 n pave way for #easeofdoingbusiness"
K8T ⁷,1,0,0,2021-01-16 08:50:30,"not sure if you’re still taking requests for the taekook kissing drabble series, but I just stumbled upon then an… — i have all of the kissing drabbles outlined but haven't done most of them.. perhapssss ill start up the drabble s…icanmakeitright CuriousCat is a Q&A social network that allows you to connect with your followers and know new people. curiouscat.qa"
Arjun Chandru,0,1,0,2021-01-16 05:52:54,"@ActorMadhavan  Request you to please reconsider being brand icon for a certain edtech startup that is embroiled in controversy, scam and suing spree."
Anushrut Khare,1,8,0,2021-01-16 04:44:14,Each employee in a startup should serve as an API to something. Other employees should be able to easily and smoothly 'request' you for a 'service'.   Founder should make sure that these APIs interact easily and smoothly with each other by setting up processes.
Finovace UK,0,0,0,2021-01-16 04:30:10,"Use the Mobius Trader 7 Platform tailored specially for Forex Brokers. Offer this platform to clients under your own brand name by using our Whitelabel Solution. Low Startup Price, Professional Support, Integration to PSP. Request Demo Now - https://lnkd.in/gFJWsmS . . . . #Forex"
Bitcoin News Post,0,0,0,2021-01-16 04:01:44,North Idaho ISP Your T1 WIFI will block Facebook and Twitter for customers that request it #Bitcoin  #News https://bitcoinnewspost.com/startups/north-idaho-isp-your-t1-wifi-will-block-facebook-and-twitter-for-customers-that-request-it-after-it-received-complaints-over-censorship-emily-czachor-newsweek/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost… #startupsNorth Idaho ISP Your T1 WIFI will block Facebook and Twitter for customers that request it after it... Emily Czachor / Newsweek: North Idaho ISP Your T1 WIFI will block Fb and Twitter for purchasers that request bitcoinnewspost.com
Shibotosh,0,0,0,2021-01-16 03:21:57,@ChingteLai  dear sir we need your support for expansion of our technology and do collaboration with companies in #Taiwan for technology development. So request you to refer us some connections. Our Startup company website for your reference http://parkingrhino.com
Josiah Hawthorne,0,2,1,2021-01-16 02:07:26,"Replying to  @GingerSnapKidAny requests?  Particular passage, translation?  I've been lax in my poetry readings, this might be a nice thing to start up Voice Tweets again for."
PFM Technologies,0,0,0,2021-01-15 17:55:13,"@jack , #startsmall offers a once in a lifetime opportunity for startups like us and we are incredibly grateful for the opportunity to receive funds, but we can't #makeadifference until we're funded. Please take a look at our request and help us #stopthespread! #coviddogs $pfmtechGIF"
RACK 37,0,1,1,2021-01-15 11:41:41,"became simple right away with just a click. And We are reorganize with Startup India & MSME India   Kindly, respond to our request as we are facing this issue for a very long time."
Kizuna Messaging Application,9,20,0,2021-01-15 11:34:20,"Due to popular request from the community, we have opened a new way for everyone to contribute to the Kizuna project! You may now donate using Crypto or Stripe credit/debit. Visit our donation page here: http://ow.ly/Jme050D9mvC  #kizuna #nonprofit #startup #opensource"
Hacker News 50,0,0,0,2021-01-15 11:05:27,"Request for Startups https://evaz.substack.com/p/rfs (https://news.ycombinator.com/item?id=25787587…)Things I want handled alternatively, request for startups evaz.substack.com"
Futuner,0,0,0,2021-01-15 10:55:06,@futuner  This is a request if you please can delete your account such that futuner name would get available for us. As its not being used since 2010. It will be helpful for our startup. I see this name has been taken in facebook page and as well as instagram account as well.
Terry Ferguson,0,0,0,2021-01-15 08:55:27,Request for Startups https://ift.tt/3oHrMBw  25
502 Geek Guy,0,0,0,2021-01-15 08:52:23,Request for Startups https://ift.tt/2LPH7kX
aladin ezzine,0,0,0,2021-01-15 08:48:45,Request for Startups https://ift.tt/3oHrMBw  22
Vincent Bowen,0,0,0,2021-01-15 08:41:38,Request for Startups https://ift.tt/3oHrMBw  21
Seed Healers,0,0,0,2021-01-15 08:29:43,Request for Startups https://ift.tt/3oHrMBw  20
Hacker News 20,0,0,0,2021-01-15 08:23:39,"Request for Startups https://evaz.substack.com/p/rfs (https://news.ycombinator.com/item?id=25787587…)Things I want handled alternatively, request for startups evaz.substack.com"
Hacker News,1,23,1,2021-01-15 08:02:41,"Request for StartupsThings I want handled alternatively, request for startups evaz.substack.com"
Marik Brestovisky,0,0,0,2021-01-15 08:02:23,Request for Startups https://ift.tt/3oHrMBw  15
Suede Awesome,0,0,0,2021-01-15 07:57:26,"Request for Startups http://ow.ly/m2DC102wJKW #StartupsThings I want handled alternatively, request for startups evaz.substack.com"
"Symmetrical Data Security, LLC.",0,0,0,2021-01-15 07:55:25,"Request for Startups https://ift.tt/2KkLe8m  Here’s a (growing) list of miscellaneous problems I want handled (not necessarily by me). I will keep adding to it.  If you’re working on one of the below problems, feel free to reach out. I may also add a t…Things I want handled alternatively, request for startups evaz.substack.com"
Tod Sacerdoti,0,0,1,2021-01-14 23:06:33,"Request for startups - build a generic saas solution for anything that Stripe builds for its own customersQuote Tweet Kenneth Auchenberg @auchenberg  · Jan 14 Today we are releasing the public beta of the @stripe extension for @code, which brings Stripe inside your editor. Let me give you some background on why we built this extension, what it does, and where we are going with our developer tools.   https://stripe.com/docs/stripe-vscode…  A thread  Show this thread"
Mario Gabriele,9,64,25,2021-01-14 23:02:02,"Request for startup from  @austin_rief ... The Athletic for local news. A high-quality, subscription based product that brings the best reporting on your area.   Read more here: https://buff.ly/3bsCcRR"
Mandy knows how to Brake,0,0,1,2021-01-14 21:02:31,"I have gotten an INTERESTING request to add ""the Gr8t Awak3ning"" to the list of subjects. (Misspelling on purpose for tweeting.) I would do it in a heartbeat if it wasn't for having to get approval by other parties involved in the project."
Startup Junkie,0,0,0,2021-01-14 20:58:31,"The SBA released procedural guidance last night that details the requirements for PPP borrowers to reapply for a PPP loan or request an increase to a PPP loan. The procedural notice applies primarily to first-draw PPP loans approved by Aug. 8, 2020.New SBA Guidance Issued for PPP First-Draw Loan Increases, Reapplications — Startup Junkie The U.S. Small Business Administration (SBA) released procedural guidance Wednesday night that details the requirements for Paycheck Protection Program (PPP) borrowers to reapply for a PPP loan or... startupjunkie.org"
Ryan Lawler,0,8,1,2021-01-14 20:36:40,request for startup: a project management tool to manage all your project management tools
Ben De Rienzo,0,2,0,2021-01-14 19:48:35,Our freelance leads startup http://Betterlance.co is getting a ton of integration requests from other #freelance startups. Seems like lots of freelancer communities needing more growth opportunities. Reach out to  @LeylandJacob  or me for more info.Betterlance | Get more freelance clients Meet Betterlance - the ultimate sales tool for freelancers. Grow your freelance business with a guaranteed number of new leads per month and the tools to convert them to paying clients. betterlance.co
Dawid Cedrych,7,23,1,2021-01-14 18:39:58,"I saw  @swyx  request for startup yesterday and thought it's a cool idea to play around with.   Shortly after, I posted a concept with three UI mocks.   A few DMs later, here we are!  Soulcast helps you find your love based on podcasts you listen to! Soulcast Find your love based on podcasts you listen to. soulcast.netlify.app"
Companion ITCS,0,0,0,2021-01-14 17:04:06,E-Hire - A best HR software for small businesses and startups! Request a demo today!  #homehealth #homecare #itsolution #eldercare #seniorcare #caregiversupport #Employeeengagement #recruitment #onboarding #Scheduling #HRsolution
Rosevi,0,0,0,2021-01-14 14:13:00,Replying to  @TONTOLETGood afternoon ma. Please i need your financial support i want to buy a sewing machine and rent a shop to start up something for myself. I will really be greatful if my request is granted please help me. God bless you ma.
